Match Day,Date,Rival_Country,GF,GA,GD,Result,Year
504,26-03-2022,Belarus,0,3,-3,Lost,2022
505,28-05-2022,Jordan,0,2,-2,Lost,2022
506,08-06-2022,Cambodia,2,0,2,Win,2022
507,11-06-2022,Afghanistan,2,1,1,Win,2022
508,14-06-2022,Hong Kong,4,0,4,Win,2022
509,24-09-2022,Singapore,1,1,0,Draw,2022
510,27-09-2022,Veitnam,0,3,-3,Lost,2022
511,22-03-2023,Myanmar,1,0,1,Win,2023
512,28-03-2023,Kyrgyzstan,2,0,2,Win,2023
513,09-06-2023,Mongolia,2,0,2,Win,2023
514,12-06-2023,Vanuatu,1,0,1,Win,2023
515,15-06-2023,Lebanon,0,0,0,Draw,2023
516,18-06-2023,Lebanon,2,0,2,Win,2023
517,21-06-2023,Pakistan,4,0,4,Win,2023
518,24-06-2023,Nepal,2,0,2,Win,2023
519,27-06-2023,Kuwait,1,1,0,Draw,2023
520,01-07-2023,Lebanon,0,0,0,Draw,2023
521,04-07-2023,Kuwait,1,1,0,Draw,2023
522,07-07-2023,Iraq,2,2,0,Draw,2023
523,10-09-2023,Lebanon,0,1,-1,Lost,2023
524,13-10-2023,Malaya,2,4,-2,Lost,2023
525,16-11-2023,Kuwait,1,0,1,Win,2023
526,21-09-2023,Qatar,0,3,-3,Lost,2023
527,13-01-2024,Australia,0,2,-2,Lost,2024
528,18-01-2024,Uzbekistan,0,3,-3,Lost,2024
529,23-01-2024,Syria,0,1,-1,Lost,2024
530,21-03-2024,Afghanistan,0,0,0,Draw,2024
531,26-03-2024,Afghanistan,1,2,-1,Lost,2024
532,06-06-2024,Kuwait,0,0,0,Draw,2024
533,11-06-2024,Qatar,1,2,-1,Lost,2024
